name,tourney_name,opp_rank_g_simp,num_gs_wins
Novak Djokovic,Australian Open,1. Top 10,23
Novak Djokovic,Australian Open,2. 11 - 30,12
Novak Djokovic,Australian Open,3. 31 - 50,13
Novak Djokovic,Australian Open,4. Outside the top 50,34
Novak Djokovic,Roland Garros,1. Top 10,13
Novak Djokovic,Roland Garros,2. 11 - 30,19
Novak Djokovic,Roland Garros,3. 31 - 50,9
Novak Djokovic,Roland Garros,4. Outside the top 50,41
Novak Djokovic,US Open,1. Top 10,12
Novak Djokovic,US Open,2. 11 - 30,22
Novak Djokovic,US Open,3. 31 - 50,9
Novak Djokovic,US Open,4. Outside the top 50,33
Novak Djokovic,Wimbledon,1. Top 10,11
Novak Djokovic,Wimbledon,2. 11 - 30,22
Novak Djokovic,Wimbledon,3. 31 - 50,17
Novak Djokovic,Wimbledon,4. Outside the top 50,29
